GENE	synRVIS	synRVIS.centile	synRVIS_RSCU	synRVIS_RSCU.centile	synGERP	synGERP.centile
TMED5	-0.32	0.46	-0.35	0.41	0.79	0.11
TMED6	-0.37	0.4	-0.41	0.36	0.35	0.18
TMED7	-0.31	0.47	-0.34	0.43	0.7	0.13
TMED8	-0.37	0.41	-0.4	0.37	0.07	0.24
TMED9	-0.24	0.55	-0.26	0.51	-0.37	0.39
TMEFF1	-0.34	0.43	-0.37	0.39	1.47	0.05
TMEFF2	-0.47	0.3	-0.51	0.27	0.78	0.12
TMEM100	-0.22	0.57	-0.24	0.52	-1.82	0.85
TMEM101	-0.3	0.49	-0.32	0.44	-0.55	0.45
TMEM102	-0.47	0.3	-0.51	0.27	-1.36	0.74
TMEM104	-0.98	0.06	-0.02	0.64	-0.51	0.44
TMEM105	-0.24	0.55	-0.27	0.5	-0.38	0.39
TMEM106A	-0.31	0.47	-0.34	0.43	-0.22	0.33
TMEM106B	-0.39	0.38	-0.43	0.34	0.34	0.19
TMEM106C	0.85	0.85	-0.42	0.35	-0.79	0.54
TMEM107	-0.22	0.57	-0.24	0.52	-0.72	0.51
TMEM108	0.35	0.72	0.09	0.66	-0.26	0.35
TMEM109	0.81	0.84	0.58	0.79	-0.49	0.43
TMEM11	-0.36	0.42	-0.39	0.38	0.5	0.16
TMEM110	-0.36	0.41	-0.39	0.37	-0.1	0.3
TMEM110-MUSTN1	-0.09	0.67	-0.1	0.63	-0.24	0.34
TMEM115	-0.51	0.26	-0.56	0.23	0.37	0.18
TMEM116	-0.27	0.51	-0.29	0.47	0.65	0.13
TMEM117	-0.51	0.26	-0.56	0.23	-1.37	0.74
TMEM119	1.96	0.96	2.57	0.98	-1.56	0.8
TMEM120A	0.83	0.85	0.6	0.8	0.13	0.23
TMEM120B	-0.39	0.39	-0.42	0.35	-0.88	0.58
TMEM121	-0.16	0.62	-0.18	0.58	0.28	0.2
TMEM123	-0.22	0.57	-0.24	0.52	-1.04	0.63
TMEM125	-0.36	0.41	0.65	0.82	-1.5	0.78
TMEM126A	-0.26	0.53	-0.28	0.49	0.28	0.2
TMEM126B	-0.19	0.6	-0.21	0.56	0.46	0.17
TMEM127	-0.39	0.38	-0.43	0.34	0.33	0.19
TMEM128	-0.2	0.59	-0.22	0.55	-2.73	0.96
TMEM129	-0.2	0.59	-0.22	0.55	-0.77	0.54
TMEM130	0.55	0.76	0.3	0.7	-1.38	0.74
TMEM131	-0.55	0.23	-1.94	0.01	-0.7	0.51
TMEM132A	1.48	0.92	1.01	0.88	-1.14	0.67
TMEM132B	-0.23	0.56	0.5	0.76	-2.71	0.96
TMEM132D	3.33	0.99	0.34	0.71	-2.18	0.92
TMEM132E	2.57	0.98	0.86	0.87	-0.74	0.52
TMEM133	1.03	0.9	0.81	0.86	-0.17	0.32
TMEM134	-0.11	0.66	-0.12	0.62	0.7	0.13
TMEM135	-0.6	0.2	-0.65	0.17	1.11	0.08
TMEM136	0.97	0.88	0.76	0.85	-1.28	0.71
TMEM138	0.95	0.88	0.73	0.84	-0.49	0.43
TMEM139	-0.28	0.5	-0.31	0.46	-0.26	0.35
TMEM140	-0.28	0.51	-0.3	0.46	-0.98	0.61
TMEM141	-0.13	0.65	-0.15	0.61	-0.15	0.31
TMEM143	1.77	0.94	1.32	0.91	-0.69	0.5
TMEM144	0.82	0.84	0.59	0.8	-1.31	0.72
TMEM145	-0.57	0.22	-0.62	0.19	0.01	0.26
TMEM147	-0.3	0.49	-0.32	0.44	-0.48	0.42
TMEM14A	-0.14	0.65	-0.15	0.6	0.57	0.14
TMEM14B	-0.18	0.61	-0.2	0.56	-0.66	0.49
TMEM14C	-0.22	0.57	-0.24	0.52	-0.53	0.44
TMEM14E	-0.17	0.62	-0.19	0.58	-0.5	0.43
TMEM150A	0.87	0.86	0.65	0.82	0.35	0.18
TMEM150B	1	0.89	0.79	0.85	-1.8	0.85
TMEM150C	-0.32	0.46	-0.34	0.42	-1.61	0.81
TMEM151A	-0.23	0.56	-0.25	0.52	-1.02	0.63
TMEM154	-0.2	0.59	-0.22	0.55	-2.19	0.92
TMEM155	-0.17	0.62	-0.19	0.58	0.65	0.13
TMEM156	-0.38	0.39	-0.42	0.35	-0.34	0.37
TMEM159	-0.23	0.56	-0.25	0.52	-0.65	0.49
TMEM160	-0.11	0.66	-0.12	0.62	-0.95	0.6
TMEM161A	1.92	0.95	0.44	0.74	-1.66	0.82
TMEM161B	-0.43	0.34	-0.47	0.3	2.11	0.02
TMEM163	0.86	0.86	1.68	0.95	0.48	0.16
TMEM164	-0.35	0.43	-0.38	0.39	2.89	0
TMEM165	-0.27	0.51	-0.29	0.47	-1.83	0.86
TMEM167A	-0.12	0.65	-0.14	0.61	1.33	0.06
TMEM167B	-0.16	0.63	-0.17	0.59	1.64	0.04
TMEM168	0.46	0.74	-0.84	0.1	0.67	0.13
TMEM169	3.34	0.99	2.72	0.98	-0.8	0.54
TMEM17	-0.34	0.43	0.67	0.82	0.12	0.23
TMEM170A	-0.27	0.51	-0.29	0.47	1.53	0.04
TMEM170B	-0.17	0.62	-0.19	0.58	-0.73	0.52
TMEM171	-0.47	0.3	1.58	0.94	-2.37	0.94
TMEM173	-0.56	0.23	-0.61	0.2	-0.31	0.36
TMEM174	-0.34	0.43	-0.37	0.39	-1.98	0.89
TMEM175	-0.88	0.09	0.09	0.66	-1.45	0.76
TMEM176A	0.89	0.86	0.67	0.82	-1.15	0.67
TMEM176B	-0.42	0.35	-0.46	0.32	-0.93	0.59
TMEM177	-0.52	0.26	-0.57	0.23	-0.89	0.58
TMEM178A	-0.28	0.51	-0.3	0.46	0.82	0.11
TMEM179	1.02	0.89	0.81	0.86	0.05	0.25
TMEM179B	-0.24	0.55	-0.26	0.51	-0.16	0.32
TMEM18	0.97	0.88	0.76	0.85	-4.08	1
TMEM180	0.42	0.73	0.16	0.67	0.41	0.17
TMEM181	-0.71	0.14	-0.77	0.12	-2.04	0.9
TMEM182	-0.37	0.4	-0.41	0.36	-1.91	0.87
TMEM183A	-0.46	0.31	-0.5	0.28	1.44	0.05
TMEM184A	-0.69	0.15	0.3	0.7	-1.25	0.7
TMEM184B	1.81	0.94	0.32	0.71	-0.5	0.43
TMEM184C	-0.37	0.41	-0.4	0.37	-0.15	0.31
TMEM185A	-0.14	0.64	-0.16	0.6	-0.1	0.3
TMEM186	0.91	0.87	0.69	0.83	-1.92	0.87
TMEM187	2.11	0.96	1.69	0.95	-2.3	0.93
TMEM189	-0.55	0.24	-0.59	0.21	0.76	0.12
TMEM19	-0.42	0.35	-0.46	0.32	-0.89	0.58
TMEM190	0.97	0.88	0.75	0.84	-1.86	0.86
TMEM192	-0.34	0.44	-0.37	0.4	-2.24	0.92
TMEM194A	-0.49	0.29	-0.53	0.25	1.02	0.09
TMEM196	-0.23	0.56	-0.25	0.52	1.06	0.08
TMEM198	-0.43	0.34	0.57	0.79	-0.35	0.38
TMEM199	-0.39	0.39	-0.42	0.35	-0.44	0.41
TMEM2	2.08	0.96	1.37	0.91	-0.73	0.52
TMEM200A	-0.69	0.15	0.3	0.7	-2.67	0.96
TMEM200B	-0.25	0.54	0.77	0.85	0.03	0.26
TMEM200C	-0.45	0.32	-0.49	0.29	-0.38	0.39
TMEM201	0.64	0.78	0.39	0.73	-1.02	0.63
TMEM202	-0.3	0.48	-0.33	0.44	0.25	0.21
TMEM203	-0.2	0.59	-0.22	0.54	0.47	0.16
TMEM204	0.73	0.81	-0.55	0.24	-2.51	0.95
TMEM205	-0.14	0.65	-0.15	0.6	-1.57	0.8
TMEM206	0.73	0.81	-0.55	0.24	-0.82	0.55
TMEM207	1.02	0.89	0.81	0.86	-0.86	0.57
TMEM208	0.96	0.88	0.74	0.84	1.24	0.07
TMEM209	-0.53	0.25	0.46	0.75	-1.42	0.76
TMEM211	-0.26	0.53	-0.28	0.49	-0.22	0.34
TMEM213	-0.17	0.62	-0.19	0.58	-1.6	0.8
TMEM214	0.4	0.73	0.14	0.67	0.05	0.25
TMEM215	-0.33	0.45	-0.36	0.41	-0.3	0.36
TMEM216	-0.18	0.61	-0.2	0.57	-0.02	0.28
TMEM217	-0.41	0.36	-0.44	0.33	-1.29	0.72
TMEM218	-0.2	0.59	-0.22	0.55	-0.36	0.38
TMEM219	-0.28	0.51	-0.3	0.46	0.81	0.11
TMEM220	-0.21	0.58	-0.23	0.54	-0.51	0.43
TMEM222	-0.25	0.54	-0.27	0.5	0.99	0.09
TMEM223	-0.16	0.62	-0.18	0.58	-1.74	0.84
TMEM225	-0.3	0.48	-0.33	0.44	-1.33	0.73
TMEM229B	1.01	0.89	0.8	0.86	1.26	0.06
TMEM230	2.23	0.97	0.78	0.85	0.1	0.24
TMEM234	-0.26	0.53	-0.28	0.49	0.43	0.17
TMEM236	-0.09	0.67	-0.1	0.63	-2.22	0.92
TMEM237	-0.2	0.59	-0.22	0.54	-0.14	0.31
TMEM241	-0.2	0.59	-0.22	0.55	-0.08	0.29
TMEM242	1	0.89	0.79	0.85	-2.13	0.91
TMEM243	-0.23	0.56	-0.25	0.52	1.64	0.04
TMEM244	-0.19	0.6	1.88	0.96	-0.17	0.32
TMEM245	-0.83	0.1	-0.9	0.08	-0.17	0.32
TMEM246	-0.61	0.19	-0.66	0.17	-0.84	0.56
TMEM248	-0.53	0.25	-0.58	0.22	-1.16	0.67
TMEM25	-0.45	0.32	-0.49	0.28	0.66	0.13
TMEM251	-0.2	0.59	-0.22	0.55	-0.24	0.34
TMEM252	-0.28	0.51	-0.3	0.46	-1.32	0.72
TMEM254	1.07	0.9	0.86	0.87	-0.66	0.49
TMEM255A	-0.34	0.43	-0.37	0.39	0.55	0.15
TMEM255B	1.91	0.95	0.43	0.74	-1.77	0.84
TMEM256	-0.16	0.63	-0.17	0.59	-0.99	0.61
TMEM256-PLSCR3	-0.27	0.51	-0.29	0.47	-1.06	0.64
TMEM257	-0.12	0.66	-0.13	0.62	1.39	0.05
TMEM258	-0.15	0.64	-0.17	0.59	-0.59	0.47
TMEM259	2.05	0.96	2.67	0.98	-1.61	0.81
TMEM26	-0.53	0.25	-0.58	0.22	-1.63	0.81
TMEM260	-0.78	0.11	-0.84	0.1	0.09	0.24
TMEM261	0.97	0.88	0.75	0.84	-2.27	0.93
TMEM27	-0.14	0.65	-0.15	0.6	1.25	0.06
TMEM30A	-0.45	0.32	-0.49	0.28	1.03	0.09
TMEM30B	-0.28	0.51	-0.3	0.46	1.32	0.06
TMEM31	-0.16	0.63	-0.17	0.59	1.67	0.04
TMEM33	-0.26	0.52	-0.29	0.48	0.67	0.13
TMEM35	-0.2	0.59	-0.22	0.54	1.18	0.07
TMEM37	0.93	0.87	1.75	0.95	-0.31	0.36
TMEM38A	0.78	0.83	0.55	0.78	-1.57	0.8
TMEM38B	-0.39	0.38	-0.43	0.34	1.03	0.09
TMEM39A	-0.63	0.18	-0.69	0.15	1.34	0.06
TMEM39B	0.73	0.81	0.49	0.76	0.52	0.15
TMEM40	0.92	0.87	-0.34	0.42	-0.85	0.56
TMEM41A	-0.34	0.44	-0.37	0.4	-0.65	0.49
TMEM41B	-0.24	0.55	-0.27	0.5	1.56	0.04
TMEM42	-0.18	0.61	-0.2	0.56	0.06	0.25
TMEM43	0.6	0.77	1.39	0.92	-1.18	0.68
TMEM44	-0.34	0.43	-0.37	0.39	-1.05	0.64
TMEM45A	0.92	0.87	1.74	0.95	-0.43	0.41
TMEM45B	0.8	0.83	0.56	0.78	-2.66	0.96
TMEM47	-0.11	0.66	-0.12	0.62	1.71	0.03
TMEM5	0.82	0.84	-0.46	0.32	-0.53	0.44
TMEM50A	-0.18	0.61	-0.2	0.57	-0.82	0.55
TMEM50B	-0.21	0.58	-0.23	0.54	-2.23	0.92
TMEM51	0.78	0.83	1.59	0.94	-2.41	0.94
TMEM52	-0.23	0.56	0.79	0.86	-0.84	0.56
TMEM52B	-0.22	0.57	-0.24	0.53	-1.83	0.86
TMEM53	-0.38	0.39	-0.42	0.35	-0.09	0.29
TMEM54	-0.3	0.49	-0.32	0.44	-0.51	0.44
TMEM55A	-0.3	0.49	0.72	0.84	0.4	0.18
TMEM55B	0.95	0.88	-0.32	0.45	0.58	0.14
TMEM56	-0.32	0.46	-0.35	0.41	-0.31	0.36
TMEM57	-0.85	0.09	-0.92	0.08	0.99	0.09
TMEM59	-0.39	0.38	-0.43	0.34	0.39	0.18
TMEM59L	-0.36	0.42	-0.39	0.38	-1.33	0.73
TMEM60	1.03	0.9	0.82	0.86	1.36	0.06
TMEM61	-0.37	0.4	0.64	0.81	-1.69	0.83
TMEM62	-0.58	0.21	-0.63	0.18	0.56	0.15
TMEM63A	5.2	1	4.15	0.99	-0.68	0.5
TMEM63B	1.24	0.91	0.75	0.84	1.04	0.08
TMEM63C	3.97	0.99	3.12	0.99	-0.6	0.47
TMEM64	-0.29	0.49	-0.32	0.45	1.11	0.08
TMEM65	-0.18	0.61	-0.2	0.56	2.11	0.02
TMEM66	-0.37	0.4	-0.41	0.36	-2.5	0.95
TMEM67	-0.96	0.07	1.05	0.89	0.43	0.17
TMEM68	-0.29	0.49	0.73	0.84	-0.69	0.5
TMEM69	0.94	0.88	-0.32	0.44	0.87	0.1
TMEM70	-0.33	0.45	-0.36	0.41	0.21	0.21
TMEM71	-0.36	0.41	-0.39	0.37	-0.61	0.47
TMEM72	-0.45	0.32	-0.49	0.29	-0.98	0.61
TMEM74	-0.38	0.39	0.63	0.81	-1.16	0.67
TMEM74B	-0.33	0.45	-0.36	0.41	0	0.27
TMEM79	-0.39	0.38	-0.43	0.34	-1.13	0.66
TMEM81	1.99	0.96	0.51	0.77	-1.06	0.64
TMEM82	-0.36	0.41	-0.39	0.37	-0.01	0.27
TMEM86A	-0.47	0.3	-0.52	0.27	0.27	0.2
TMEM86B	2.22	0.97	1.81	0.96	-2.44	0.94
TMEM87A	0.64	0.78	-0.65	0.17	1.36	0.05
TMEM87B	-0.44	0.33	-0.48	0.3	-0.2	0.33
TMEM88	-0.3	0.48	-0.33	0.44	0.25	0.2
TMEM89	0.93	0.87	0.71	0.83	-0.44	0.41
TMEM8A	0.05	0.69	-0.24	0.53	-1.3	0.72
TMEM8B	-0.73	0.13	-0.79	0.12	-0.01	0.27
TMEM8C	0.91	0.87	0.69	0.83	-1.37	0.74
TMEM9	0.93	0.87	1.76	0.95	-1.58	0.8
TMEM91	-0.26	0.52	-0.29	0.48	-0.93	0.59
TMEM92	0.97	0.88	0.75	0.84	-1.48	0.77
TMEM95	-0.22	0.57	-0.24	0.53	-0.01	0.27
TMEM97	-0.23	0.56	-0.25	0.52	-0.45	0.41
TMEM98	0.92	0.87	2.79	0.98	-0.41	0.4
TMEM99	0.79	0.83	1.6	0.94	-0.02	0.28
TMEM9B	-0.25	0.54	-0.27	0.5	0.36	0.18
TMF1	-1.18	0.04	-1.28	0.03	-0.19	0.33
TMIE	-0.17	0.62	-0.19	0.58	-0.33	0.37
TMIGD1	-0.36	0.42	-0.39	0.38	0.27	0.2
TMIGD2	-0.47	0.3	-0.51	0.27	-1.16	0.67
TMLHE	-0.36	0.42	-0.39	0.38	0.54	0.15
TMOD1	-0.54	0.24	-0.59	0.21	-0.74	0.52
TMOD2	-0.37	0.41	-0.4	0.37	-0.33	0.37
TMOD3	-0.42	0.35	-0.46	0.32	-0.4	0.4
TMOD4	-0.43	0.34	-0.47	0.31	-0.49	0.43
TMPO	-0.87	0.09	-0.94	0.07	1.05	0.08
TMPPE	0.56	0.76	-0.74	0.13	-2.01	0.89
TMPRSS11A	1.95	0.95	1.52	0.93	-0.76	0.53
TMPRSS11B	-0.36	0.41	0.65	0.82	-1.67	0.82
TMPRSS11D	-0.45	0.32	-0.49	0.28	-0.79	0.54
TMPRSS11E	-0.45	0.32	-0.49	0.29	-0.7	0.51
TMPRSS11F	-0.45	0.32	0.55	0.78	-0.82	0.55
TMPRSS12	-0.25	0.54	-0.27	0.5	-0.61	0.47
TMPRSS13	-0.53	0.25	0.46	0.75	-1.15	0.67
TMPRSS15	-1.16	0.04	-0.21	0.55	-0.52	0.44
TMPRSS2	0.48	0.74	0.22	0.68	-3.19	0.98
TMPRSS3	0.51	0.75	0.26	0.69	-2.75	0.97
TMPRSS4	-0.59	0.2	-0.64	0.18	-0.48	0.43
TMPRSS5	2.21	0.97	1.8	0.95	-1.02	0.63
TMPRSS6	1.34	0.92	2.95	0.99	-1.03	0.63
TMPRSS7	-0.73	0.13	-0.79	0.12	-0.51	0.43
TMPRSS9	3.57	0.99	4.78	1	-2.28	0.93
TMSB10	1.11	0.91	0.91	0.88	1.92	0.02
TMSB15A	-0.08	0.67	-0.09	0.63	-2.08	0.9
TMSB15B	-0.07	0.68	-0.08	0.64	-1.28	0.71
TMSB4X	-0.1	0.67	-0.12	0.62	1.23	0.07
TMTC1	-0.92	0.08	0.05	0.65	-1.34	0.73
TMTC2	-1.03	0.06	-1.12	0.05	-0.93	0.6
TMTC3	-0.81	0.1	-0.88	0.09	0.79	0.11
TMTC4	1.46	0.92	0.99	0.88	-1.69	0.83
TMUB1	-0.2	0.59	-0.22	0.55	0.17	0.22
TMUB2	-0.36	0.42	-0.39	0.38	0.11	0.24
TMX1	-0.43	0.34	0.57	0.79	0.53	0.15
TMX2	0.8	0.83	0.56	0.78	-0.33	0.37
TMX3	-0.41	0.36	-0.44	0.33	-0.8	0.55
TMX4	-0.32	0.46	-0.35	0.41	0.15	0.23
TNC	-0.5	0.27	-0.08	0.64	-0.5	0.43
TNF	-0.34	0.43	-0.37	0.39	-0.25	0.34
TNFAIP1	-0.51	0.27	-0.55	0.24	0.2	0.21
TNFAIP2	-0.48	0.29	0.52	0.77	-0.65	0.49
TNFAIP3	0.33	0.72	-0.99	0.07	-2.75	0.97
TNFAIP6	-0.3	0.48	0.71	0.83	-0.14	0.31
TNFAIP8	-0.27	0.51	0.75	0.84	-1.32	0.73
TNFAIP8L1	-0.18	0.61	-0.2	0.56	-1.25	0.7
TNFAIP8L2	-0.32	0.46	-0.35	0.41	-0.98	0.61
TNFAIP8L3	-0.37	0.41	-0.4	0.37	-0.09	0.29
TNFRSF10A	-0.61	0.19	-0.67	0.17	-1.55	0.79
TNFRSF10B	-0.48	0.29	-0.52	0.26	-1.88	0.87
TNFRSF10C	1.02	0.89	0.81	0.86	-0.44	0.41
TNFRSF10D	1.96	0.96	-0.56	0.23	-0.96	0.6
TNFRSF11A	-0.61	0.19	0.38	0.72	-1.29	0.72
TNFRSF11B	0.73	0.81	-0.55	0.24	-2.64	0.96
TNFRSF13B	0.73	0.81	1.54	0.93	-1.6	0.8
TNFRSF13C	-0.24	0.55	-0.26	0.51	-1.24	0.7
TNFRSF14	0.77	0.83	0.54	0.77	-1.24	0.7
TNFRSF17	0.93	0.87	0.71	0.83	-2.36	0.94
TNFRSF18	-0.14	0.64	-0.16	0.6	-1.09	0.65
TNFRSF19	-0.59	0.2	0.4	0.73	-2.73	0.96
TNFRSF1A	-0.43	0.34	-0.47	0.3	-1.02	0.63
TNFRSF1B	-0.58	0.21	-0.63	0.18	-2.01	0.89
TNFRSF21	-0.82	0.1	-0.89	0.09	0.02	0.26
TNFRSF25	0.84	0.85	-0.43	0.34	-0.59	0.47
TNFRSF4	2.19	0.97	1.78	0.95	-1.73	0.83
TNFRSF6B	0.91	0.87	1.73	0.95	-1.96	0.88
TNFRSF8	-0.74	0.13	-0.8	0.11	-1.52	0.78
TNFRSF9	-0.32	0.46	-0.34	0.42	-3.26	0.99
TNFSF10	-0.34	0.44	-0.37	0.4	-1.36	0.74
TNFSF11	-0.46	0.31	1.59	0.94	-0.56	0.45
TNFSF12-TNFSF13	-0.16	0.63	-0.17	0.59	1.05	0.08
TNFSF13	-0.41	0.36	0.59	0.8	0.59	0.14
TNFSF13B	-0.37	0.41	-0.4	0.37	-1.54	0.79
TNFSF14	-0.34	0.43	0.67	0.82	-2.38	0.94
TNFSF15	-0.3	0.48	-0.33	0.44	-0.51	0.44
TNFSF18	-0.26	0.52	-0.29	0.48	-0.36	0.38
TNFSF4	-0.24	0.55	-0.27	0.5	-0.63	0.48
TNFSF8	-0.32	0.46	-0.34	0.42	0.06	0.25
TNFSF9	-0.26	0.53	-0.28	0.49	-2.11	0.91
TNIK	1.28	0.91	-0.24	0.53	-0.2	0.33
TNIP1	-0.67	0.16	0.32	0.71	-0.8	0.54
TNIP2	0.71	0.81	0.47	0.75	-1.87	0.86
TNIP3	-0.34	0.43	-0.37	0.39	-1.31	0.72
TNK1	0.78	0.83	0.54	0.78	-0.93	0.59
TNK2	1.1	0.9	1.65	0.94	-0.93	0.59
TNKS	-0.92	0.08	-1.28	0.03	-1	0.62
TNKS1BP1	-0.82	0.1	-0.13	0.61	-1.76	0.84
TNKS2	-1.21	0.03	-1.31	0.03	0.94	0.1
TNMD	0.94	0.88	0.72	0.84	1.82	0.03
TNN	-0.34	0.43	1.43	0.92	-1.33	0.73
TNNC1	-0.22	0.57	-0.24	0.52	-0.28	0.35
TNNC2	1.05	0.9	0.84	0.87	-0.01	0.27
TNNI1	-0.26	0.52	-0.29	0.48	-0.6	0.47
TNNI2	-0.39	0.38	-0.43	0.34	-0.54	0.45
TNNI3	0.96	0.88	0.74	0.84	-2.06	0.9
TNNT1	-0.32	0.46	-0.35	0.41	-1.8	0.85
TNNT2	0.93	0.87	0.71	0.83	-1.47	0.77
TNNT3	0.89	0.86	0.66	0.82	-1.8	0.85
TNP1	-0.14	0.65	-0.15	0.6	1.29	0.06
TNP2	-0.25	0.54	-0.27	0.5	-0.84	0.56
TNPO1	-0.91	0.08	-0.99	0.07	1.3	0.06
TNPO2	0.11	0.69	-0.18	0.58	-1.22	0.69
TNPO3	1.46	0.92	-0.06	0.64	0.79	0.11
TNR	-0.75	0.12	-1.1	0.05	-0.34	0.37
TNRC18	-2.13	0.01	1.88	0.96	-1.57	0.8
TNRC6A	0.38	0.72	0.87	0.87	2.65	0.01
TNRC6B	-1.78	0.01	-1.93	0.01	2.75	0.01
TNRC6C	-0.39	0.37	-0.72	0.14	0.22	0.21
TNS1	1.6	0.93	1.9	0.96	-0.7	0.51
TNS3	2.99	0.98	4.15	0.99	-2.98	0.98
TNS4	-0.79	0.11	-0.86	0.09	-0.51	0.43
TNXB	0.9	0.87	0.68	0.82	-1.34	0.73
TOB1	-0.49	0.28	-0.54	0.25	0.97	0.09
TOB2	0.76	0.82	0.52	0.77	-1.03	0.63
TOE1	0.62	0.78	0.37	0.72	0.36	0.18
TOLLIP	0.79	0.83	0.56	0.78	-1.57	0.8
TOM1	-0.53	0.25	-0.57	0.22	-0.87	0.57
TOM1L1	-0.42	0.35	-0.46	0.32	-0.13	0.31
TOM1L2	-0.72	0.14	-0.78	0.12	-1.26	0.71
TOMM20	-0.24	0.55	-0.26	0.51	-0.61	0.47
TOMM20L	-0.17	0.62	-0.19	0.58	0.4	0.18
TOMM22	-0.2	0.59	-0.22	0.55	-0.38	0.39
TOMM34	0.87	0.86	0.64	0.81	0.13	0.23
TOMM40	0.87	0.86	0.64	0.81	-0.99	0.62
TOMM40L	-0.43	0.34	-0.47	0.3	-0.25	0.34
TOMM5	-0.15	0.64	0.88	0.87	-0.29	0.36
TOMM7	-0.14	0.65	-0.15	0.6	1.94	0.02
TOMM70A	0.67	0.79	0.43	0.74	0.71	0.12
TONSL	-0.28	0.5	2.54	0.98	-1.52	0.78
TOP1	-0.79	0.11	-0.85	0.1	1.31	0.06
TOP1MT	-0.78	0.11	0.2	0.68	-2.32	0.93
TOP2A	-1.08	0.05	0.92	0.88	0.34	0.19
TOP2B	-1.16	0.04	-0.21	0.55	1.24	0.07
TOP3A	0.09	0.69	0.85	0.87	-2.08	0.9
TOP3B	-1.07	0.05	-0.11	0.62	-1.82	0.85
TOPBP1	0.98	0.88	2.56	0.98	-0.41	0.4
TOPORS	-0.06	0.68	0.69	0.83	0.23	0.21
TOR1A	-0.47	0.3	0.53	0.77	-0.77	0.53
TOR1AIP1	-0.73	0.13	-0.79	0.12	-0.74	0.52
TOR1AIP2	0.57	0.76	0.32	0.71	-1.3	0.72
TOR1B	-0.47	0.3	0.53	0.77	-1.6	0.81
TOR2A	-0.23	0.56	-0.25	0.52	-0.27	0.35
TOR3A	0.76	0.82	0.53	0.77	-0.64	0.48
TOR4A	-0.18	0.61	-0.2	0.57	-1.4	0.75
TOX	0.65	0.79	-0.64	0.18	-0.49	0.43
TOX2	-0.66	0.16	-0.72	0.14	-0.79	0.54
TOX3	0.62	0.78	-0.67	0.16	-0.94	0.6
TOX4	0.5	0.75	-0.8	0.11	1.32	0.06
TP53	-0.56	0.23	-0.61	0.2	-2.14	0.91
TP53AIP1	-0.16	0.63	-0.17	0.59	-1.39	0.74
TP53BP1	-0.98	0.06	-2.4	0	0.67	0.13
TP53BP2	-0.1	0.67	-0.4	0.37	-3.77	0.99
TP53I11	-0.33	0.45	-0.36	0.41	-0.88	0.58
TP53I13	-0.43	0.34	-0.47	0.3	-0.66	0.49
TP53I3	-0.36	0.42	-0.39	0.38	-1.45	0.76
TP53INP1	0.93	0.87	0.71	0.83	0.98	0.09
TP53INP2	-0.24	0.55	-0.27	0.5	0.11	0.24
TP53RK	-0.2	0.59	-0.22	0.55	-0.66	0.49
TP53TG3D	-0.09	0.67	-0.1	0.63	-0.01	0.27
TP53TG5	-0.43	0.34	-0.47	0.3	-0.84	0.56
TP63	0.34	0.72	0.07	0.66	0.28	0.2
TP73	2.84	0.98	3.23	0.99	-1.17	0.67
TPBG	0.6	0.77	-0.69	0.15	-0.15	0.31
TPCN1	-1.25	0.03	-0.31	0.46	-0.37	0.38
TPCN2	-1.05	0.05	-1.14	0.05	-1.11	0.66
TPD52	-0.21	0.58	-0.23	0.54	-2.63	0.96
TPD52L1	-0.24	0.55	-0.27	0.5	-0.18	0.32
TPD52L2	-0.31	0.47	-0.34	0.43	-1.41	0.75
TPD52L3	-0.18	0.61	-0.2	0.56	-1.06	0.64
TPGS1	-0.1	0.67	-0.11	0.63	-0.87	0.57
TPGS2	0.85	0.85	1.67	0.95	0.54	0.15
TPH1	-0.5	0.28	-0.54	0.24	0.35	0.19
TPH2	-0.68	0.15	-0.74	0.13	-1.23	0.7
TPI1	-0.48	0.29	-0.52	0.26	-0.85	0.56
TPK1	-0.28	0.51	-0.3	0.46	-1.86	0.86
TPM1	-0.36	0.41	-0.39	0.37	1.27	0.06
TPM2	-0.43	0.34	-0.47	0.31	1.29	0.06
TPM3	-0.33	0.45	-0.36	0.41	1.52	0.04
TPM4	-0.31	0.47	-0.34	0.43	-1.6	0.8
TPMT	2.22	0.97	-0.28	0.49	-1.29	0.72
TPO	-1.16	0.04	0.83	0.86	-2.74	0.96
TPP1	-0.72	0.14	0.26	0.69	0.48	0.16
TPP2	-0.12	0.66	0.62	0.81	-0.8	0.55
TPPP	2.02	0.96	3.68	0.99	-1.98	0.89
TPPP2	-0.28	0.51	-0.3	0.46	-0.96	0.6
TPPP3	-0.32	0.46	-0.34	0.42	-0.07	0.29
TPR	-1.14	0.04	-0.47	0.3	-0.19	0.33
TPRA1	-0.37	0.4	-0.41	0.36	-0.44	0.41
TPRG1	-0.36	0.42	-0.39	0.38	-0.4	0.4
TPRG1L	-0.36	0.42	0.66	0.82	-0.67	0.49
TPRKB	-0.2	0.59	-0.22	0.55	0.07	0.25
TPRN	-0.67	0.16	-0.73	0.14	-0.93	0.59
TPRX1	-0.3	0.49	-0.32	0.44	-0.58	0.46
TPSAB1	-0.3	0.49	-0.32	0.44	-2.06	0.9
TPSD1	0.83	0.85	1.64	0.94	-1.64	0.82
TPSG1	0.76	0.82	2.61	0.98	-1.79	0.85
TPST1	-0.4	0.37	-0.44	0.33	-1.1	0.65
TPST2	3.06	0.99	0.34	0.71	-0.44	0.41
